field_ind,field,length,date_type,optionality,repeatability,version,code
1,FHS.1_FileFieldSeparator,1,ST,R,,2.3.1,"FHS.1_FileFieldSeparator = """","
2,FHS.2_FileEncodingCharacters,4,ST,R,,2.3.1,"FHS.2_FileEncodingCharacters = """","
3,FHS.3_FileSendingApplication,15,ST,O,,2.3.1,"FHS.3_FileSendingApplication = """","
4,FHS.4_FileSendingFacility,20,ST,O,,2.3.1,"FHS.4_FileSendingFacility = """","
5,FHS.5_FileReceivingApplication,15,ST,O,,2.3.1,"FHS.5_FileReceivingApplication = """","
6,FHS.6_FileReceivingFacility,20,ST,O,,2.3.1,"FHS.6_FileReceivingFacility = """","
7,FHS.7_FileCreationDateTime,26,TS,O,,2.3.1,"FHS.7_FileCreationDateTime = """","
8,FHS.8_FileSecurity,40,ST,O,,2.3.1,"FHS.8_FileSecurity = """","
9,FHS.9_FileNameID,20,ST,O,,2.3.1,"FHS.9_FileNameID = """","
10,FHS.10_FileHeaderComment,80,ST,O,,2.3.1,"FHS.10_FileHeaderComment = """","
11,FHS.11_FileControlID,20,ST,O,,2.3.1,"FHS.11_FileControlID = """","
12,FHS.12_ReferenceFileControlID,20,ST,O,,2.3.1,"FHS.12_ReferenceFileControlID = """","
1,BHS.1_ Batch Field Separator,1,ST,R,,2.3.1,"BHS.1_ Batch Field Separator = """","
2,BHS.2_BatchEncodingCharacters,3,ST,R,,2.3.1,"BHS.2_BatchEncodingCharacters = """","
3,BHS.3_BatchSendingApplication,15,ST,O,,2.3.1,"BHS.3_BatchSendingApplication = """","
4,BHS.4_BatchSendingFacility,20,ST,O,,2.3.1,"BHS.4_BatchSendingFacility = """","
5,BHS.5_BatchReceivingApplication,15,ST,O,,2.3.1,"BHS.5_BatchReceivingApplication = """","
6,BHS.6_BatchReceivingFacility,20,ST,O,,2.3.1,"BHS.6_BatchReceivingFacility = """","
7,BHS.7_BatchCreationDateTime,26,TS,O,,2.3.1,"BHS.7_BatchCreationDateTime = """","
8,BHS.8_BatchSecurity,40,ST,O,,2.3.1,"BHS.8_BatchSecurity = """","
9,BHS.9_BatchNameIDType,20,ST,O,,2.3.1,"BHS.9_BatchNameIDType = """","
10,BHS.10_BatchComment,80,ST,O,,2.3.1,"BHS.10_BatchComment = """","
11,BHS.11_BatchControlID,20,ST,O,,2.3.1,"BHS.11_BatchControlID = """","
12,BHS.12_ReferenceBatchControlID,20,ST,O,,2.3.1,"BHS.12_ReferenceBatchControlID = """","
